Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2019-20,Fenerbahce Beko Istanbul,17,50,2.9,20/35,57.1,0/0,0,10/16,62.5,42,5,6,5,"DUVERIOGLU, AHMET"
2020-21,Fenerbahce Beko Istanbul,3,20,6.7,8/9,88.9,0/0,0,4/6,66.7,5,1,1,1,"DUVERIOGLU, AHMET"
2020-21,Fenerbahce Beko Istanbul,5,32,6.4,1/4,25,10/20,50,0/0,0,11,2,2,0,"EDDIE, JARELL"
2019-20,Olympiacos Piraeus,7,57,8.1,23/30,76.7,0/0,0,11/14,78.6,41,7,4,5,"ELLIS, OCTAVIUS"
2020-21,Olympiacos Piraeus,5,27,5.4,12/14,85.7,0/0,0,3/5,60,25,3,3,6,"ELLIS, OCTAVIUS"
2015-16,FC Barcelona Lassa,3,2,0.7,1/2,50,0/2,0,0/0,0,2,1,1,0,"ERIKSSON, MARCUS"
2016-17,FC Barcelona Lassa,22,44,2,4/16,25,12/34,35.3,0/0,0,27,8,7,3,"ERIKSSON, MARCUS"
2018-19,Herbalife Gran Canaria,29,302,10.4,44/90,48.9,61/147,41.5,31/33,93.9,39,18,24,0,"ERIKSSON, MARCUS"
2019-20,ALBA Berlin,22,247,11.2,28/60,46.7,55/118,46.6,26/32,81.3,43,15,19,5,"ERIKSSON, MARCUS"
2020-21,ALBA Berlin,4,59,14.8,7/11,63.6,13/28,46.4,6/6,100,2,3,2,0,"ERIKSSON, MARCUS"
2020-21,LDLC ASVEL Villeurbanne,2,24,12,9/12,75,0/0,0,6/11,54.5,11,1,1,4,"FALL, MOUSTAPHA"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,28,162,5.8,67/109,61.5,0/0,0,28/62,45.2,135,6,3,18,"FALL, YOUSSOUPHA"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,1,0.3,0/1,0,0/0,0,1/2,50,2,1,0,0,"FALL, YOUSSOUPHA"
2006-07,DKV Joventut,19,300,15.8,45/82,54.9,51/119,42.9,57/70,81.4,72,39,33,5,"FERNANDEZ, RUDY"
2011-12,Real Madrid,8,92,11.5,15/31,48.4,15/47,31.9,17/19,89.5,25,10,18,1,"FERNANDEZ, RUDY"
2012-13,Real Madrid,27,369,13.7,66/121,54.5,52/154,33.8,81/101,80.2,104,41,84,12,"FERNANDEZ, RUDY"
2013-14,Real Madrid,31,410,13.2,74/140,52.9,60/170,35.3,82/92,89.1,135,45,103,7,"FERNANDEZ, RUDY"
2014-15,Real Madrid,25,317,12.7,52/105,49.5,49/138,35.5,66/74,89.2,86,38,82,2,"FERNANDEZ, RUDY"
2015-16,Real Madrid,14,106,7.6,18/38,47.4,17/56,30.4,19/26,73.1,33,6,27,2,"FERNANDEZ, RUDY"
2016-17,Real Madrid,32,208,6.5,29/77,37.7,43/133,32.3,21/28,75,91,38,103,4,"FERNANDEZ, RUDY"
2017-18,Real Madrid,31,229,7.4,20/49,40.8,46/124,37.1,51/58,87.9,76,21,81,5,"FERNANDEZ, RUDY"
2018-19,Real Madrid,31,279,9,20/51,39.2,65/157,41.4,44/54,81.5,86,24,83,5,"FERNANDEZ, RUDY"
2019-20,Real Madrid,25,203,8.1,10/33,30.3,52/125,41.6,27/35,77.1,51,24,51,3,"FERNANDEZ, RUDY"
2020-21,Real Madrid,5,21,4.2,0/1,0,7/19,36.8,0/0,0,4,1,5,0,"FERNANDEZ, RUDY"
2019-20,Valencia Basket,1,0,0,0/2,0,0/0,0,0/0,0,1,0,1,0,"FERRANDO, GUILLEM"
2019-20,FC Bayern Munich,22,42,1.9,14/31,45.2,2/14,14.3,8/11,72.7,12,3,14,2,"FLACCADORI, DIEGO"
