Season,Team,G,Pts,Avg,2FG,2FG_%,3FG,3FG_%,FT,FT_%,Reb,St,As,Bl,full_name
2014-15,Olympiacos Piraeus,11,40,3.6,10/18,55.6,6/15,40,2/4,50,14,4,4,0,"PAPAPETROU, IOANNIS"
2015-16,Olympiacos Piraeus,24,136,5.7,35/78,44.9,16/40,40,18/26,69.2,64,17,17,7,"PAPAPETROU, IOANNIS"
2016-17,Olympiacos Piraeus,36,159,4.4,35/76,46.1,26/78,33.3,11/16,68.8,93,19,17,11,"PAPAPETROU, IOANNIS"
2017-18,Olympiacos Piraeus,31,212,6.8,59/117,50.4,24/84,28.6,22/33,66.7,112,11,21,9,"PAPAPETROU, IOANNIS"
2018-19,Panathinaikos OPAP Athens,28,252,9,70/114,61.4,25/75,33.3,37/55,67.3,118,22,30,15,"PAPAPETROU, IOANNIS"
2019-20,Panathinaikos OPAP Athens,27,293,10.9,87/126,69,33/90,36.7,20/33,60.6,112,19,21,14,"PAPAPETROU, IOANNIS"
2020-21,Panathinaikos OPAP Athens,3,38,12.7,14/24,58.3,1/14,7.1,7/9,77.8,14,3,7,1,"PAPAPETROU, IOANNIS"
2018-19,CSKA Moscow,36,190,5.3,24/60,40,39/90,43.3,25/28,89.3,96,17,26,3,"PETERS, ALEC"
2019-20,Anadolu Efes Istanbul,27,113,4.2,23/34,67.6,15/36,41.7,22/26,84.6,57,9,14,2,"PETERS, ALEC"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,2,27,13.5,6/10,60,3/7,42.9,6/6,100,7,0,2,0,"PETERS, ALEC"
2020-21,Fenerbahce Beko Istanbul,5,18,3.6,4/11,36.4,1/6,16.7,7/11,63.6,15,2,10,3,"PIERRE, DYSHAWN"
2010-11,Brose Baskets Bamberg,10,67,6.7,20/49,40.8,4/9,44.4,15/19,78.9,63,1,9,15,"PLEISS, TIBOR"
2011-12,Brose Baskets,10,65,6.5,25/49,51,0/1,0,15/22,68.2,54,0,4,8,"PLEISS, TIBOR"
2012-13,Laboral Kutxa Vitoria,25,125,5,50/81,61.7,1/3,33.3,22/26,84.6,97,5,6,15,"PLEISS, TIBOR"
2013-14,Laboral Kutxa Vitoria,24,287,12,112/201,55.7,0/0,0,63/73,86.3,130,12,12,23,"PLEISS, TIBOR"
2014-15,FC Barcelona,25,133,5.3,51/87,58.6,1/2,50,28/33,84.8,98,5,6,15,"PLEISS, TIBOR"
2016-17,Galatasaray Odeabank Istanbul,28,215,7.7,85/150,56.7,2/5,40,39/51,76.5,130,5,13,34,"PLEISS, TIBOR"
2017-18,Valencia Basket,29,292,10.1,113/199,56.8,5/10,50,51/64,79.7,152,11,16,32,"PLEISS, TIBOR"
2018-19,Anadolu Efes Istanbul,37,300,8.1,117/174,67.2,10/30,33.3,36/41,87.8,138,14,14,19,"PLEISS, TIBOR"
2019-20,Anadolu Efes Istanbul,28,267,9.5,115/178,64.6,4/16,25,25/27,92.6,119,14,11,14,"PLEISS, TIBOR"
2020-21,Anadolu Efes Istanbul,4,40,10,15/25,60,0/2,0,10/10,100,16,2,1,1,"PLEISS, TIBOR"
2018-19,Olympiacos Piraeus,2,1,0.5,0/2,0,0/1,0,1/2,50,2,1,1,0,"POKUSEVSKI, ALEKSEJ"
2019-20,Olympiacos Piraeus,1,0,0,0/1,0,0/0,0,0/0,0,0,0,0,0,"POKUSEVSKI, ALEKSEJ"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,27,85,3.1,20/49,40.8,9/40,22.5,18/28,64.3,75,15,6,11,"POLONARA, ACHILLE"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,34,11.3,11/17,64.7,3/9,33.3,3/8,37.5,23,7,2,4,"POLONARA, ACHILLE"
2012-13,Asseco Prokom Gdynia,10,88,8.8,25/41,61,10/31,32.3,8/21,38.1,35,10,8,0,"PONITKA, MATEUSZ"
2015-16,Stelmet Zielona Gora,10,120,12,41/71,57.7,5/20,25,23/34,67.6,79,11,22,2,"PONITKA, MATEUSZ"
2019-20,Zenit St Petersburg,18,164,9.1,47/83,56.6,12/37,32.4,34/48,70.8,82,15,29,6,"PONITKA, MATEUSZ"
2020-21,Zenit St Petersburg,2,8,4,2/3,66.7,0/2,0,4/4,100,7,1,5,0,"PONITKA, MATEUSZ"
2020-21,Zenit St Petersburg,2,23,11.5,10/17,58.8,0/0,0,3/3,100,14,1,1,4,"POYTHRESS, ALEX"
2020-21,Valencia Basket,2,2,1,1/1,100,0/0,0,0/0,0,2,0,0,0,"PRADILLA, JAIME"
2012-13,Union Olimpija Ljubljana,10,88,8.8,5/14,35.7,19/57,33.3,21/26,80.8,16,7,20,0,"PREPELIC, KLEMEN"
2018-19,Real Madrid,21,80,3.8,15/29,51.7,11/39,28.2,17/23,73.9,19,3,35,1,"PREPELIC, KLEMEN"
2020-21,Valencia Basket,4,32,8,8/15,53.3,4/15,26.7,4/4,100,4,5,15,0,"PREPELIC, KLEMEN"
2002-03,Olympiacos,3,0,0,0/0,0,0/0,0,0/0,0,1,0,0,0,"PRINTEZIS, GEORGIOS"
2003-04,Olympiacos,3,2,0.7,1/1,100,0/0,0,0/0,0,1,0,0,0,"PRINTEZIS, GEORGIOS"
2004-05,Olympiacos,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"PRINTEZIS, GEORGIOS"
2005-06,Olympiacos,8,30,3.8,9/14,64.3,2/4,50,6/12,50,9,2,1,0,"PRINTEZIS, GEORGIOS"
2007-08,Olympiacos,21,141,6.7,56/98,57.1,5/21,23.8,14/23,60.9,68,6,13,5,"PRINTEZIS, GEORGIOS"
2008-09,Olympiacos Piraeus,20,176,8.8,70/107,65.4,7/14,50,15/29,51.7,65,7,12,2,"PRINTEZIS, GEORGIOS"
2009-10,Unicaja,12,140,11.7,52/97,53.6,8/19,42.1,12/16,75,51,8,10,2,"PRINTEZIS, GEORGIOS"
2010-11,Unicaja Malaga,14,79,5.6,28/61,45.9,4/22,18.2,11/16,68.8,38,3,4,2,"PRINTEZIS, GEORGIOS"
2011-12,Olympiacos Piraeus,21,222,10.6,65/108,60.2,18/58,31,38/44,86.4,87,6,25,6,"PRINTEZIS, GEORGIOS"
2012-13,Olympiacos Piraeus,29,305,10.5,91/165,55.2,29/93,31.2,36/48,75,115,6,30,2,"PRINTEZIS, GEORGIOS"
2013-14,Olympiacos Piraeus,21,214,10.2,71/139,51.1,15/55,27.3,27/41,65.9,98,8,20,4,"PRINTEZIS, GEORGIOS"
2014-15,Olympiacos Piraeus,20,244,12.2,71/123,57.7,18/60,30,48/69,69.6,97,4,19,2,"PRINTEZIS, GEORGIOS"
2015-16,Olympiacos Piraeus,21,296,14.1,96/171,56.1,20/55,36.4,44/63,69.8,116,10,28,4,"PRINTEZIS, GEORGIOS"
2016-17,Olympiacos Piraeus,32,409,12.8,129/266,48.5,27/67,40.3,70/100,70,163,21,33,5,"PRINTEZIS, GEORGIOS"
2017-18,Olympiacos Piraeus,28,337,12,106/210,50.5,23/67,34.3,56/81,69.1,154,13,40,8,"PRINTEZIS, GEORGIOS"
2018-19,Olympiacos Piraeus,30,319,10.6,121/238,50.8,12/39,30.8,41/66,62.1,155,12,38,7,"PRINTEZIS, GEORGIOS"
2019-20,Olympiacos Piraeus,25,295,11.8,108/195,55.4,13/35,37.1,40/58,69,107,9,37,6,"PRINTEZIS, GEORGIOS"
2020-21,Olympiacos Piraeus,5,50,10,18/27,66.7,3/8,37.5,5/6,83.3,16,0,9,0,"PRINTEZIS, GEORGIOS"
2017-18,Valencia Basket,10,9,0.9,3/7,42.9,0/1,0,3/4,75,4,1,1,1,"PUERTO, JOSEP"
2019-20,Olympiacos Piraeus,11,75,6.8,20/51,39.2,7/39,17.9,14/20,70,21,5,9,1,"PUNTER, KEVIN"
2019-20,Crvena Zvezda mts Belgrade,12,191,15.9,37/78,47.4,25/52,48.1,42/47,89.4,13,7,18,1,"PUNTER, KEVIN"
2019-20,Zenit St Petersburg,17,32,1.9,13/32,40.6,1/3,33.3,3/4,75,17,4,5,4,"PUSHKOV, ANTON"
2018-19,FC Barcelona Lassa,9,34,3.8,13/18,72.2,0/0,0,8/13,61.5,15,2,1,4,"PUSTOVYI, ARTEM"
2019-20,FC Barcelona,1,0,0,0/1,0,0/0,0,0/0,0,1,0,0,0,"PUSTOVYI, ARTEM"
2020-21,FC Barcelona,1,1,1,0/0,0,0/0,0,1/2,50,2,0,0,0,"PUSTOVYI, ARTEM"
2009-10,Cibona,16,60,3.8,25/42,59.5,0/1,0,10/19,52.6,48,10,6,3,"RADOSEVIC, LEON"
2010-11,Cibona Zagreb,9,116,12.9,47/92,51.1,0/1,0,22/27,81.5,57,11,12,4,"RADOSEVIC, LEON"
2011-12,EA7 Emporio Armani,14,49,3.5,17/33,51.5,0/0,0,15/18,83.3,18,3,4,4,"RADOSEVIC, LEON"
2012-13,Lietuvos Rytas Vilnius,10,98,9.8,38/70,54.3,0/1,0,22/31,71,38,10,11,7,"RADOSEVIC, LEON"
2014-15,ALBA Berlin,22,198,9,80/163,49.1,0/1,0,38/53,71.7,79,13,18,8,"RADOSEVIC, LEON"
2015-16,Brose Baskets Bamberg,19,143,7.5,53/96,55.2,0/0,0,37/52,71.2,66,6,12,7,"RADOSEVIC, LEON"
2016-17,Brose Bamberg,28,170,6.1,72/129,55.8,0/0,0,26/41,63.4,74,10,18,9,"RADOSEVIC, LEON"
2017-18,Brose Bamberg,28,202,7.2,79/148,53.4,0/1,0,44/55,80,94,7,21,11,"RADOSEVIC, LEON"
2018-19,FC Bayern Munich,29,134,4.6,59/105,56.2,0/1,0,16/24,66.7,59,9,27,11,"RADOSEVIC, LEON"
2019-20,FC Bayern Munich,19,53,2.8,23/56,41.1,0/0,0,7/13,53.8,37,2,13,4,"RADOSEVIC, LEON"
2020-21,FC Bayern Munich,5,26,5.2,12/21,57.1,0/3,0,2/2,100,15,2,5,0,"RADOSEVIC, LEON"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,0,0,0/3,0,0/1,0,0/0,0,7,0,0,0,"RAIESTE, SANDER"
2015-16,Lokomotiv Kuban Krasnodar,23,333,14.5,105/213,49.3,19/75,25.3,66/86,76.7,138,29,27,21,"RANDOLPH, ANTHONY"
2016-17,Real Madrid,34,346,10.2,98/175,56,29/79,36.7,63/81,77.8,174,13,39,36,"RANDOLPH, ANTHONY"
2017-18,Real Madrid,21,173,8.2,54/99,54.5,14/45,31.1,23/35,65.7,79,14,25,7,"RANDOLPH, ANTHONY"
2018-19,Real Madrid,33,414,12.5,83/150,55.3,60/145,41.4,68/90,75.6,142,17,30,11,"RANDOLPH, ANTHONY"
2019-20,Real Madrid,19,260,13.7,34/64,53.1,52/106,49.1,36/47,76.6,82,16,7,4,"RANDOLPH, ANTHONY"
2020-21,Real Madrid,3,10,3.3,1/5,20,1/6,16.7,5/6,83.3,6,2,2,0,"RANDOLPH, ANTHONY"
2020-21,Crvena Zvezda mts Belgrade,4,16,4,5/10,50,2/6,33.3,0/0,0,10,1,1,4,"REATH, DUOP"
2000-01,Adecco Estudiantes,12,95,7.9,29/53,54.7,0/0,0,37/58,63.8,49,9,7,3,"REYES, FELIPE"
2004-05,Real Madrid,17,116,6.8,37/93,39.8,0/0,0,42/75,56,131,28,21,6,"REYES, FELIPE"
2005-06,Real Madrid,22,215,9.8,76/150,50.7,0/0,0,63/104,60.6,166,24,31,6,"REYES, FELIPE"
2007-08,Real Madrid,19,240,12.6,78/156,50,0/0,0,84/139,60.4,135,24,17,9,"REYES, FELIPE"
2008-09,Real Madrid,20,269,13.4,91/182,50,1/2,50,84/105,80,130,25,21,2,"REYES, FELIPE"
2009-10,Real Madrid,14,102,7.3,35/80,43.8,0/1,0,32/41,78,70,11,12,1,"REYES, FELIPE"
2010-11,Real Madrid,21,183,8.7,60/137,43.8,2/10,20,57/68,83.8,116,9,19,5,"REYES, FELIPE"
2011-12,Real Madrid,16,134,8.4,44/94,46.8,0/0,0,46/58,79.3,101,9,9,3,"REYES, FELIPE"
2012-13,Real Madrid,29,219,7.6,72/152,47.4,5/17,29.4,60/85,70.6,147,14,14,8,"REYES, FELIPE"
2013-14,Real Madrid,30,273,9.1,79/163,48.5,7/23,30.4,94/110,85.5,144,10,20,5,"REYES, FELIPE"
2014-15,Real Madrid,30,321,10.7,107/206,51.9,5/17,29.4,92/113,81.4,154,15,29,10,"REYES, FELIPE"
2015-16,Real Madrid,26,282,10.8,77/146,52.7,12/29,41.4,92/111,82.9,154,14,23,5,"REYES, FELIPE"
2016-17,Real Madrid,31,163,5.3,48/97,49.5,4/12,33.3,55/67,82.1,86,10,21,10,"REYES, FELIPE"
2017-18,Real Madrid,35,293,8.4,96/163,58.9,3/7,42.9,92/116,79.3,151,8,29,7,"REYES, FELIPE"
2018-19,Real Madrid,23,93,4,32/53,60.4,0/1,0,29/31,93.5,48,7,6,0,"REYES, FELIPE"
2019-20,Real Madrid,7,24,3.4,8/16,50,1/5,20,5/6,83.3,11,2,3,1,"REYES, FELIPE"
2019-20,Maccabi FOX Tel Aviv,12,68,5.7,28/50,56,0/1,0,12/19,63.2,63,6,9,4,"REYNOLDS, JALEN"
2020-21,FC Bayern Munich,5,67,13.4,29/46,63,0/1,0,9/10,90,33,4,3,1,"REYNOLDS, JALEN"
2012-13,Khimki Moscow Region,24,230,9.6,53/101,52.5,36/99,36.4,16/30,53.3,64,18,37,2,"RIVERS, KC"
2014-15,Real Madrid,30,160,5.3,30/66,45.5,30/73,41.1,10/10,100,68,18,34,0,"RIVERS, KC"
2015-16,Real Madrid,17,114,6.7,28/46,60.9,17/54,31.5,7/9,77.8,26,14,14,1,"RIVERS, KC"
2015-16,FC Bayern Munich,10,108,10.8,16/35,45.7,22/51,43.1,10/15,66.7,23,5,13,1,"RIVERS, KC"
2016-17,Panathinaikos Superfoods Athens,33,369,11.2,62/127,48.8,71/169,42,32/41,78,81,25,25,2,"RIVERS, KC"
2017-18,Panathinaikos Superfoods Athens,31,262,8.5,41/82,50,53/148,35.8,21/32,65.6,85,33,25,2,"RIVERS, KC"
2019-20,Zalgiris Kaunas,18,167,9.3,19/36,52.8,40/97,41.2,9/10,90,27,17,19,0,"RIVERS, KC"
2020-21,Zenit St Petersburg,2,25,12.5,5/9,55.6,5/8,62.5,0/0,0,5,1,1,0,"RIVERS, KC"
2012-13,Laboral Kutxa Vitoria,4,6,1.5,1/7,14.3,1/4,25,1/3,33.3,1,4,1,0,"ROCHESTIE, TAYLOR"
2013-14,Montepaschi Siena,10,65,6.5,16/39,41,9/23,39.1,6/7,85.7,15,5,17,0,"ROCHESTIE, TAYLOR"
2014-15,Nizhny Novgorod,21,397,18.9,82/158,51.9,53/106,50,74/80,92.5,33,13,120,0,"ROCHESTIE, TAYLOR"
2015-16,Maccabi FOX Tel Aviv,10,140,14,30/70,42.9,19/47,40.4,23/25,92,21,2,55,0,"ROCHESTIE, TAYLOR"
2017-18,Crvena Zvezda mts Belgrade,30,403,13.4,102/185,55.1,50/123,40.7,49/55,89.1,68,24,150,2,"ROCHESTIE, TAYLOR"
2019-20,Olympiacos Piraeus,21,97,4.6,19/45,42.2,14/34,41.2,17/20,85,21,6,76,0,"ROCHESTIE, TAYLOR"
2020-21,Crvena Zvezda mts Belgrade,1,2,2,1/3,33.3,0/1,0,0/0,0,2,0,5,0,"ROCHESTIE, TAYLOR"
2004-05,Adecco Estudiantes,14,90,6.4,24/52,46.2,7/22,31.8,21/33,63.6,26,17,39,0,"RODRIGUEZ, SERGIO"
2010-11,Real Madrid,18,110,6.1,34/72,47.2,4/20,20,30/32,93.8,34,9,55,0,"RODRIGUEZ, SERGIO"
2011-12,Real Madrid,16,118,7.4,25/49,51,15/32,46.9,23/28,82.1,24,13,86,0,"RODRIGUEZ, SERGIO"
2012-13,Real Madrid,29,217,7.5,49/111,44.1,28/95,29.5,35/40,87.5,51,20,114,0,"RODRIGUEZ, SERGIO"
2013-14,Real Madrid,31,434,14,75/151,49.7,69/138,50,77/85,90.6,62,36,152,2,"RODRIGUEZ, SERGIO"
2014-15,Real Madrid,28,310,11.1,65/135,48.1,43/113,38.1,51/61,83.6,39,28,143,1,"RODRIGUEZ, SERGIO"
2015-16,Real Madrid,27,295,10.9,48/97,49.5,52/127,40.9,43/58,74.1,60,19,167,2,"RODRIGUEZ, SERGIO"
2017-18,CSKA Moscow,36,495,13.8,79/138,57.2,92/210,43.8,61/68,89.7,73,30,178,4,"RODRIGUEZ, SERGIO"
2018-19,CSKA Moscow,35,357,10.2,60/131,45.8,67/171,39.2,36/41,87.8,53,24,159,2,"RODRIGUEZ, SERGIO"
2019-20,AX Armani Exchange Milan,28,365,13,71/153,46.4,58/155,37.4,49/51,96.1,63,25,151,4,"RODRIGUEZ, SERGIO"
2020-21,AX Armani Exchange Milan,4,65,16.3,9/15,60,12/24,50,11/12,91.7,13,5,18,0,"RODRIGUEZ, SERGIO"
2017-18,Maccabi FOX Tel Aviv,29,265,9.1,66/130,50.8,31/76,40.8,40/45,88.9,60,10,84,2,"ROLL, MICHAEL"
2018-19,Maccabi FOX Tel Aviv,29,264,9.1,70/136,51.5,35/86,40.7,19/21,90.5,63,20,79,1,"ROLL, MICHAEL"
2019-20,AX Armani Exchange Milan,28,210,7.5,40/84,47.6,39/89,43.8,13/15,86.7,71,15,45,1,"ROLL, MICHAEL"
2020-21,AX Armani Exchange Milan,4,33,8.3,5/11,45.5,7/9,77.8,2/2,100,6,2,2,0,"ROLL, MICHAEL"
2017-18,Brose Bamberg,30,304,10.1,99/182,54.4,7/19,36.8,85/107,79.4,142,22,28,9,"RUBIT, AUGUSTINE"
2019-20,Olympiacos Piraeus,26,157,6,48/78,61.5,8/16,50,37/45,82.2,77,11,15,10,"RUBIT, AUGUSTINE"
2020-21,Zalgiris Kaunas,5,40,8,18/24,75,0/2,0,4/4,100,16,2,7,3,"RUBIT, AUGUSTINE"
2008-09,Tau Ceramica,20,71,3.5,19/41,46.3,6/21,28.6,15/17,88.2,36,6,12,1,"SAN EMETERIO, FERNANDO"
2009-10,Caja Laboral,20,237,11.8,55/85,64.7,29/68,42.6,40/50,80,76,15,46,0,"SAN EMETERIO, FERNANDO"
2010-11,Caja Laboral Vitoria,20,274,13.7,65/107,60.7,30/60,50,54/70,77.1,109,16,47,1,"SAN EMETERIO, FERNANDO"
2011-12,Caja Laboral,10,120,12,30/54,55.6,12/35,34.3,24/25,96,46,8,21,0,"SAN EMETERIO, FERNANDO"
2012-13,Laboral Kutxa Vitoria,28,253,9,64/129,49.6,27/80,33.8,44/57,77.2,93,15,58,0,"SAN EMETERIO, FERNANDO"
2013-14,Laboral Kutxa Vitoria,21,195,9.3,41/74,55.4,30/69,43.5,23/29,79.3,58,7,43,0,"SAN EMETERIO, FERNANDO"
2014-15,Laboral Kutxa Vitoria,24,246,10.3,56/111,50.5,29/91,31.9,47/59,79.7,72,11,43,0,"SAN EMETERIO, FERNANDO"
2017-18,Valencia Basket,20,188,9.4,39/79,49.4,29/72,40.3,23/29,79.3,56,5,46,0,"SAN EMETERIO, FERNANDO"
2019-20,Valencia Basket,24,175,7.3,29/59,49.2,29/62,46.8,30/40,75,43,9,39,0,"SAN EMETERIO, FERNANDO"
2020-21,Valencia Basket,3,15,5,3/6,50,3/7,42.9,0/0,0,6,1,5,0,"SAN EMETERIO, FERNANDO"
2011-12,Galatasaray Medical Park,3,6,2,3/5,60,0/0,0,0/0,0,1,0,0,0,"SANLI, SERTAC"
2018-19,Anadolu Efes Istanbul,9,18,2,7/8,87.5,0/1,0,4/5,80,4,0,0,0,"SANLI, SERTAC"
2019-20,Anadolu Efes Istanbul,21,146,7,57/84,67.9,2/7,28.6,26/33,78.8,46,4,7,9,"SANLI, SERTAC"
2020-21,Anadolu Efes Istanbul,2,6,3,3/5,60,0/0,0,0/0,0,0,0,0,1,"SANLI, SERTAC"
2019-20,CSKA Moscow,10,55,5.5,15/34,44.1,4/23,17.4,13/15,86.7,25,12,17,0,"SANT-ROOS, HOWARD"
2020-21,Panathinaikos OPAP Athens,3,28,9.3,5/9,55.6,4/13,30.8,6/8,75,9,3,9,2,"SANT-ROOS, HOWARD"
2017-18,Valencia Basket,18,100,5.6,17/38,44.7,18/39,46.2,12/15,80,41,10,36,4,"SASTRE, JOAN"
2019-20,Valencia Basket,12,56,4.7,8/17,47.1,11/18,61.1,7/10,70,16,9,13,4,"SASTRE, JOAN"
2020-21,Valencia Basket,1,2,2,1/3,33.3,0/2,0,0/0,0,2,1,2,0,"SASTRE, JOAN"
2017-18,Anadolu Efes Istanbul,2,0,0,0/3,0,0/2,0,0/0,0,1,0,1,0,"SAYBIR, YIGITCAN"
2019-20,Anadolu Efes Istanbul,1,0,0,0/1,0,0/0,0,0/0,0,0,0,0,0,"SAYBIR, YIGITCAN"
2020-21,Anadolu Efes Istanbul,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"SAYBIR, YIGITCAN"
2019-20,ALBA Berlin,16,60,3.8,6/13,46.2,14/38,36.8,6/8,75,20,5,5,2,"SCHNEIDER, TIM"
2020-21,ALBA Berlin,2,0,0,0/0,0,0/2,0,0/0,0,0,0,1,0,"SCHNEIDER, TIM"
2016-17,Baskonia Vitoria Gasteiz,13,17,1.3,6/9,66.7,0/1,0,5/8,62.5,8,1,2,0,"SEDEKERSKIS, TADAS"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,2,4,2,2/3,66.7,0/0,0,0/0,0,2,0,0,0,"SEDEKERSKIS, TADAS"
2020-21,TD Systems Baskonia Vitoria-Gasteiz,3,5,1.7,1/2,50,0/2,0,3/4,75,5,0,1,0,"SEDEKERSKIS, TADAS"
2020-21,Khimki Moscow Region,2,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"SHARAPOV, VLADISLAV"
2011-12,Belgacom Spirou Charleroi,9,75,8.3,24/48,50,4/14,28.6,15/22,68.2,39,3,9,1,"SHENGELIA, TORNIKE"
2014-15,Laboral Kutxa Vitoria,24,227,9.5,65/148,43.9,8/35,22.9,73/89,82,115,14,20,16,"SHENGELIA, TORNIKE"
2015-16,Laboral Kutxa Vitoria Gasteiz,9,82,9.1,23/41,56.1,7/14,50,15/22,68.2,34,7,11,5,"SHENGELIA, TORNIKE"
2016-17,Baskonia Vitoria Gasteiz,24,258,10.8,78/154,50.6,13/24,54.2,63/81,77.8,101,18,33,7,"SHENGELIA, TORNIKE"
2017-18,KIROLBET Baskonia Vitoria Gasteiz,33,451,13.7,154/251,61.4,15/46,32.6,98/144,68.1,200,26,72,18,"SHENGELIA, TORNIKE"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,20,229,11.4,71/135,52.6,11/28,39.3,54/102,52.9,85,23,33,8,"SHENGELIA, TORNIKE"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,28,444,15.9,136/232,58.6,34/87,39.1,70/91,76.9,156,28,81,13,"SHENGELIA, TORNIKE"
2020-21,CSKA Moscow,5,48,9.6,12/24,50,3/15,20,15/21,71.4,36,4,12,2,"SHENGELIA, TORNIKE"
2018-19,KIROLBET Baskonia Vitoria-Gasteiz,33,323,9.8,96/170,56.5,26/73,35.6,53/60,88.3,93,19,37,2,"SHIELDS, SHAVON"
2019-20,KIROLBET Baskonia Vitoria-Gasteiz,26,246,9.5,66/129,51.2,28/81,34.6,30/35,85.7,88,10,25,5,"SHIELDS, SHAVON"
2020-21,AX Armani Exchange Milan,4,50,12.5,11/24,45.8,6/17,35.3,10/13,76.9,19,7,3,3,"SHIELDS, SHAVON"
2006-07,CSKA Moscow,1,0,0,0/0,0,0/0,0,0/0,0,0,0,0,0,"SHVED, ALEXEY"
2007-08,CSKA Moscow,8,22,2.8,3/5,60,4/8,50,4/6,66.7,2,1,0,1,"SHVED, ALEXEY"
2008-09,CSKA Moscow,3,7,2.3,0/0,0,1/1,100,4/4,100,1,1,3,0,"SHVED, ALEXEY"
2009-10,CSKA Moscow,2,1,0.5,0/1,0,0/0,0,1/2,50,1,0,1,0,"SHVED, ALEXEY"
2010-11,CSKA Moscow,7,31,4.4,7/11,63.6,4/9,44.4,5/6,83.3,10,2,8,1,"SHVED, ALEXEY"
2011-12,CSKA Moscow,21,222,10.6,44/91,48.4,33/67,49.3,35/42,83.3,55,12,63,4,"SHVED, ALEXEY"
2015-16,Khimki Moscow Region,24,382,15.9,69/144,47.9,57/164,34.8,73/99,73.7,68,32,95,7,"SHVED, ALEXEY"
2017-18,Khimki Moscow Region,34,740,21.8,132/263,50.2,107/324,33,155/189,82,88,44,178,8,"SHVED, ALEXEY"
2018-19,Khimki Moscow Region,14,326,23.3,38/86,44.2,57/156,36.5,79/98,80.6,39,22,93,4,"SHVED, ALEXEY"
2019-20,Khimki Moscow Region,26,557,21.4,88/186,47.3,83/252,32.9,132/148,89.2,69,24,162,10,"SHVED, ALEXEY"
2020-21,Khimki Moscow Region,1,32,32,3/11,27.3,6/12,50,8/8,100,2,0,11,1,"SHVED, ALEXEY"
2019-20,ALBA Berlin,28,271,9.7,71/137,51.8,29/67,43.3,42/60,70,181,30,127,15,"SIKMA, LUKE"
2020-21,ALBA Berlin,4,26,6.5,8/18,44.4,1/5,20,7/10,70,20,0,13,2,"SIKMA, LUKE"
2015-16,Crvena Zvezda Telekom Belgrade,7,14,2,3/3,100,2/7,28.6,2/2,100,7,1,0,2,"SIMANIC, BORISA"
2016-17,Crvena Zvezda mts Belgrade,3,2,0.7,1/3,33.3,0/2,0,0/0,0,3,0,1,0,"SIMANIC, BORISA"
2019-20,Crvena Zvezda mts Belgrade,20,80,4,15/24,62.5,16/31,51.6,2/4,50,24,6,11,10,"SIMANIC, BORISA"
2020-21,Crvena Zvezda mts Belgrade,1,0,0,0/0,0,0/1,0,0/0,0,1,0,0,0,"SIMANIC, BORISA"
2011-12,Zagreb,10,134,13.4,35/68,51.5,13/44,29.5,25/26,96.2,46,7,25,0,"SIMON, KRUNOSLAV"
2012-13,Unicaja Malaga,22,220,10,30/74,40.5,38/100,38,46/52,88.5,73,9,56,2,"SIMON, KRUNOSLAV"
2013-14,Lokomotiv Kuban Krasnodar,23,244,10.6,45/90,50,34/97,35.1,52/65,80,77,22,60,7,"SIMON, KRUNOSLAV"
2015-16,EA7 Emporio Armani Milan,10,107,10.7,20/45,44.4,16/59,27.1,19/27,70.4,40,6,28,3,"SIMON, KRUNOSLAV"
2016-17,EA7 Emporio Armani Milan,21,230,11,49/94,52.1,30/81,37,42/48,87.5,76,21,81,4,"SIMON, KRUNOSLAV"
2017-18,Anadolu Efes Istanbul,26,240,9.2,45/104,43.3,38/112,33.9,36/44,81.8,101,22,89,4,"SIMON, KRUNOSLAV"
2018-19,Anadolu Efes Istanbul,37,349,9.4,61/103,59.2,56/139,40.3,59/70,84.3,139,33,102,7,"SIMON, KRUNOSLAV"
2019-20,Anadolu Efes Istanbul,27,239,8.9,55/108,50.9,37/84,44,18/21,85.7,104,16,77,5,"SIMON, KRUNOSLAV"
2020-21,Anadolu Efes Istanbul,4,64,16,10/15,66.7,12/20,60,8/10,80,15,3,16,1,"SIMON, KRUNOSLAV"
2013-14,Crvena Zvezda Telekom Belgrade,10,48,4.8,5/11,45.5,12/32,37.5,2/3,66.7,29,8,6,2,"SIMONOVIC, MARKO"
2015-16,Crvena Zvezda Telekom Belgrade,27,201,7.4,24/44,54.5,45/107,42.1,18/23,78.3,52,14,7,2,"SIMONOVIC, MARKO"
2016-17,Crvena Zvezda mts Belgrade,30,378,12.6,73/133,54.9,57/146,39,61/74,82.4,107,24,21,4,"SIMONOVIC, MARKO"
2020-21,Crvena Zvezda mts Belgrade,4,18,4.5,2/5,40,4/9,44.4,2/2,100,8,2,2,0,"SIMONOVIC, MARKO"
